rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,height,width,distortion_model,D,K,R,P,binning_x,binning_y,roi,x_offset,y_offset,height,width,do_rectify
1445170254121397084,,10917,,1411821237,55521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254171158556,,10918,,1411821237,105521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254221566699,,10919,,1411821237,155521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254271587153,,10920,,1411821237,205521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254321325062,,10921,,1411821237,255521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254371029871,,10922,,1411821237,305521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254420985107,,10923,,1411821237,355521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254470816729,,10924,,1411821237,405521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254521312317,,10925,,1411821237,455521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254570647168,,10926,,1411821237,505521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
