rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,transform,translation,x,y,z,rotation,x,y,z,w
1444913373165993032,,1,,1411821236,355521441,/world,'',,,-0.000500642901241,0.00188139381286,-0.00263890488342,,0.00984274959945,-0.792153951641,0.000896094081284,0.610241291782
1444913373199234512,,2,,1411821236,405521393,/world,'',,,-0.000551083399877,0.00309922256659,-0.00179276317589,,0.0127164797374,-0.792461859691,-0.00225828796203,0.609784709724
1444913373257193518,,3,,1411821236,455521584,/world,'',,,-0.00139644109084,0.00369518206041,-0.00279289506519,,0.0111105970155,-0.789699200311,-0.000190948548918,0.613393585881
1444913373297571929,,4,,1411821236,505521536,/world,'',,,-0.00106287077559,0.00392532640263,-0.00198770828681,,0.012991377355,-0.788391924598,-0.00247584389828,0.615031111035
1444913373348467376,,5,,1411821236,555521488,/world,'',,,-0.000757173873286,0.00372290825191,-0.00266957304367,,0.0121112491063,-0.790076460181,-0.00177842759565,0.612886075799
1444913373399040395,,6,,1411821236,605521441,/world,'',,,-0.000728773827301,0.00452796294503,-0.00228764052352,,0.0126347638054,-0.791005814395,-0.00173596077923,0.61167569085
1444913373448736002,,7,,1411821236,655521393,/world,'',,,-0.000746854143958,0.00485783346239,-0.00203783479432,,0.0113743034665,-0.790646756722,-0.000256041034067,0.612166861034
1444913373498107767,,8,,1411821236,705521584,/world,'',,,-0.00134163812616,0.00715071797337,-0.00276522360698,,0.012266969705,-0.792301352028,-0.00010897321051,0.610006620582
1444913373562170550,,9,,1411821236,755521536,/world,'',,,-0.00194200907499,0.00781102578686,-0.00245137268992,,0.0117896321131,-0.793079754677,0.000791450688109,0.609003186283
1444913373600247213,,10,,1411821236,805521488,/world,'',,,-0.00320657669981,0.00938760213576,-0.00227999967378,,0.0110107269143,-0.794291633625,0.00185257560609,0.607434056182
1444913373659203966,,11,,1411821236,855521441,/world,'',,,-0.00450487250353,0.00758877258319,0.00196036287174,,0.011235331205,-0.793452025475,0.00128649533852,0.608527727825
1444913373700790255,,12,,1411821236,905521393,/world,'',,,-0.00440604460654,0.00991400188559,0.00907658990162,,0.0120748054302,-0.791826284929,0.00167871964116,0.610624692811
1444913373764353561,,13,,1411821236,955521584,/world,'',,,-0.00582098707739,0.00678678976734,0.0109818603389,,0.0124475069078,-0.792345359398,0.000615172699105,0.609945499675
1444913373802767619,,14,,1411821237,5521536,/world,'',,,-0.00776206620405,0.00337365746963,0.0181503564668,,0.0129115497131,-0.794258924601,0.00037982180829,0.607442102846
1444913373859158902,,15,,1411821237,55521488,/world,'',,,-0.0130576554787,0.00218695979964,0.0247121245732,,0.01206254407,-0.798329784738,0.00188863623012,0.602096738808
1444913373910734186,,16,,1411821237,105521441,/world,'',,,-0.0188562929514,-0.0136237566337,0.0426654109035,,0.00777370027134,-0.80407656609,0.00137380345017,0.594473345166
1444913373960804857,,17,,1411821237,155521393,/world,'',,,-0.0262652385277,-0.0134007731274,0.0606266853637,,0.00696646134886,-0.809752762774,0.00207111167717,0.586726207096
1444913374009096141,,18,,1411821237,205521584,/world,'',,,-0.0316669794297,-0.0106272784345,0.0709506347647,,0.00792082144274,-0.814088643457,0.00315780714632,0.580678025619
1444913374056772262,,19,,1411821237,255521536,/world,'',,,-0.0346271576499,-0.00844435110432,0.0802399159664,,0.00846076907786,-0.817468550385,0.00592665004217,0.575880594687
1444913374100290677,,20,,1411821237,305521488,/world,'',,,-0.0386396215528,-0.00699068487666,0.0896083178218,,0.00773971491188,-0.821218621607,0.00768642434,0.570509413787
1444913374158833873,,21,,1411821237,355521441,/world,'',,,-0.0429797641091,-0.00551694920743,0.103495703867,,0.00691512528563,-0.82541449336,0.00985876225965,0.56439870659
1444913374208752168,,22,,1411821237,405521393,/world,'',,,-0.0479408777461,-0.00430612486228,0.114244271553,,0.00598617044109,-0.829880829859,0.0100600404269,0.557817864166
1444913374262388844,,23,,1411821237,455521584,/world,'',,,-0.0540182121076,-0.00170748589794,0.127454720517,,0.00589073610998,-0.834409456647,0.0107610985243,0.551008490537
1444913374312270559,,24,,1411821237,505521536,/world,'',,,-0.0582330294754,0.00338888420824,0.13865658386,,0.00699210923423,-0.8376120207,0.0115753743505,0.546098181554
1444913374353675148,,25,,1411821237,555521488,/world,'',,,-0.0651128064705,0.00777926521647,0.15967900596,,0.0075836525434,-0.840101625792,0.0142227472427,0.542189505632
1444913374410266436,,26,,1411821237,605521441,/world,'',,,-0.0717872353579,0.00984788196199,0.173386540451,,0.00801184802726,-0.841678600776,0.0146274584186,0.539721206501
1444913374457750736,,27,,1411821237,655521393,/world,'',,,-0.068288261674,0.0128236273096,0.179268656166,,0.00998658528207,-0.843002638132,0.0157501755361,0.53758604166
1444913374500013040,,28,,1411821237,705521584,/world,'',,,-0.0632922409875,0.0106802356429,0.178207787483,,0.0119223763539,-0.845751860218,0.014978765588,0.533232861386
1444913374555043860,,29,,1411821237,755521536,/world,'',,,-0.0623966251931,0.0161013791417,0.180718470082,,0.014559174425,-0.85022429496,0.0176617082126,0.525922753608
1444913374605896540,,30,,1411821237,805521488,/world,'',,,-0.0616879809153,0.0145572354333,0.186352018624,,0.0154303591207,-0.854937501128,0.0185734831351,0.518168697344
1444913374721515999,,31,,1411821237,905521393,/world,'',,,-0.0499791697984,0.0130167177642,0.187639469459,,0.0181451097118,-0.858313225813,0.0219155218599,0.512336677674
1444913374750994915,,32,,1411821237,955521584,/world,'',,,-0.0497500706675,0.0105820028417,0.192775870737,,0.0177984023037,-0.858656848989,0.0221477054072,0.511762749431
