rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1445170253565307967,,1,,1411821236,405521393,/world,,,-0.00062757184865,0.00160392627446,-0.000948923187697,,-0.552505409663,-0.564279447409,0.43485558042,0.432697471338
1445170253600462073,,2,,1411821236,455521584,/world,,,-0.00652386880659,0.00056210560588,-0.00246166189241,,-0.550092948085,-0.565836784979,0.430318375844,0.438238036509
1445170253644374086,,3,,1411821236,505521536,/world,,,-0.0146232867114,0.00140624663112,-0.0013807667147,,-0.548745536708,-0.566892738445,0.433065422009,0.435850088106
1445170253694804967,,4,,1411821236,555521488,/world,,,-0.0152531423288,-0.000227803314892,-0.00184489845489,,-0.548486386406,-0.568811325133,0.431699623919,0.435030797801
1445170253744172136,,5,,1411821236,605521441,/world,,,-0.0216998302021,-0.00327594051087,-0.00268669937975,,-0.547577407882,-0.57126063201,0.432927545764,0.431733729064
1445170253793544761,,6,,1411821236,655521393,/world,,,-0.0222859769102,-0.00234222043873,-0.00321087052291,,-0.548679011661,-0.568514881838,0.435742727749,0.431126949407
1445170253842179281,,7,,1411821236,705521584,/world,,,-0.0231775702144,-0.00235026044646,-0.0034921255236,,-0.549063519882,-0.571087825298,0.432904582254,0.430094837907
1445170253904345605,,8,,1411821236,755521536,/world,,,-0.0219133444008,-0.00128104921968,-0.0032822882367,,-0.551692370047,-0.570144197832,0.432754460026,0.428129302708
1445170253944966642,,9,,1411821236,805521488,/world,,,-0.0164028664049,-0.00420340797239,0.00120156712278,,-0.553112308539,-0.569272805134,0.434511772666,0.42566978621
1445170253994202496,,10,,1411821236,855521441,/world,,,-0.0158887779212,-0.00422461983466,0.00261463704614,,-0.552986309865,-0.568457507356,0.435529587065,0.42588282687
1445170254056386896,,11,,1411821236,905521393,/world,,,-0.0405158257576,-0.0100996454504,0.0080702127296,,-0.552457673404,-0.567562010288,0.436076630909,0.427201422692
1445170254098139666,,12,,1411821236,955521584,/world,,,-0.0435487302913,-0.00579112352838,0.0158256277159,,-0.552473677573,-0.564939732194,0.437658722222,0.429034704237
1445170254145632010,,13,,1411821237,5521536,/world,,,-0.0356395305215,-0.0111321277666,0.0232406305847,,-0.55005228279,-0.570257381875,0.435283387624,0.427524709313
1445170254207638037,,14,,1411821237,55521488,/world,,,-0.0195478736066,-0.0235197817985,0.0360094166415,,-0.546281614084,-0.580700304888,0.429938887317,0.423693411784
1445170254247222852,,15,,1411821237,105521441,/world,,,0.0229865057698,-0.106303792821,0.0332744055808,,-0.551826846214,-0.587689736213,0.423319548373,0.413410771162
1445170254309478347,,16,,1411821237,155521393,/world,,,0.0582656501263,-0.109792517683,0.0386130996495,,-0.562508560601,-0.582060141266,0.418082863946,0.412306718444
1445170254351189486,,17,,1411821237,205521584,/world,,,0.0651853156911,-0.0901527458382,0.038748982087,,-0.568302994807,-0.585134255725,0.41185848883,0.406229238298
1445170254391822861,,18,,1411821237,255521536,/world,,,0.0653054644643,-0.105840839617,0.0389662710201,,-0.571838997781,-0.585588006186,0.408658951197,0.403837478738
1445170254451835961,,19,,1411821237,305521488,/world,,,0.0563297889776,-0.113946328017,0.0460950712719,,-0.573424851499,-0.589280236857,0.40366291762,0.401234334362
1445170254502260838,,20,,1411821237,355521441,/world,,,0.061937073943,-0.140515294333,0.0456535573621,,-0.575732742396,-0.588867898972,0.403287554149,0.398905446895
1445170254546562002,,21,,1411821237,405521393,/world,,,0.045300553964,-0.147355610616,0.0425206148598,,-0.580835004205,-0.58873988782,0.401470021557,0.393494427116
1445170254606019405,,22,,1411821237,455521584,/world,,,0.0702271180593,-0.0932892131637,0.0374793640862,,-0.586938515156,-0.590038778881,0.400273903174,0.383586002458
1445170254663457762,,23,,1411821237,505521536,/world,,,0.0665800092749,-0.0129700571102,0.0392118338589,,-0.588306216554,-0.59014329604,0.40500782621,0.376291571009
1445170254701991359,,24,,1411821237,555521488,/world,,,-0.00789042593505,-0.0202680978351,0.0594649918785,,-0.593178761337,-0.59367437117,0.404490831005,0.3634238101
1445170254744531031,,25,,1411821237,605521441,/world,,,-0.0535120379431,-0.0568430899136,0.102930812624,,-0.602024609886,-0.593672986274,0.396386332526,0.357766166436
1445170254793217225,,26,,1411821237,655521393,/world,,,-0.0647372923427,-0.0517336824268,0.141117147549,,-0.605521145968,-0.595584176247,0.393155624868,0.352210569723
1445170254849379579,,27,,1411821237,705521584,/world,,,-0.0696745853917,-0.0589708179965,0.139247064459,,-0.601566540711,-0.595684953026,0.397758019078,0.353646281041
1445170254893515690,,28,,1411821237,755521536,/world,,,-0.0837222012047,-0.0560819938958,0.104063946756,,-0.600165568721,-0.596430783781,0.398672290373,0.353740038969
1445170254942275451,,29,,1411821237,805521488,/world,,,-0.0959111846851,-0.0518966358203,0.107392354226,,-0.600668123561,-0.60179745705,0.395801848273,0.346956082134
1445170254993849092,,30,,1411821237,855521441,/world,,,-0.100170145288,-0.0501469866202,0.113573283419,,-0.602741542727,-0.603751804675,0.394114442151,0.341848208289
1445170255042699327,,31,,1411821237,905521393,/world,,,-0.0964561867673,-0.0536275205208,0.124870140701,,-0.604529160277,-0.603836052354,0.394285689757,0.338327224895
1445170255096649546,,32,,1411821237,955521584,/world,,,-0.0909722540851,-0.0474294785468,0.135785435863,,-0.605328109749,-0.602588957557,0.394677003643,0.338665750517
1445170255146387650,,33,,1411821238,5521536,/world,,,-0.0908645894268,-0.0482001705438,0.148586088871,,-0.6064433964,-0.602666685517,0.392624296892,0.338918035255
